MAC Address,Name
D4:3A:2C:65:83:69,test
C0:86:B3:A6:CE:69,OpenFit Shoks
A0:D7:F3:19:5D:69,Samsung TV
F0:99:19:1F:06:69,Garmin Forerunner 245 Music
1c:f2:9a:d5:6e:69,test2
